yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary
1985,NL,LAN,LAD,W,1,162,81.0,95,67,Y,,N,N,682,5502,1434,226,28,129,539,846.0,136.0,58.0,,,579,482,2.96,37,21,36,4395,1280,102,462,979,166,131.0,0.97,Los Angeles Dodgers,Dodger Stadium,3264593.0,97,96,LAD,LAN,LAN,10967917
1985,NL,CIN,CIN,W,2,162,81.0,89,72,N,,N,N,677,5431,1385,249,34,114,576,856.0,159.0,70.0,,,666,598,3.71,24,11,45,4353,1347,131,535,910,121,142.0,0.98,Cincinnati Reds,Riverfront Stadium,1834619.0,104,105,CIN,CIN,CIN,8359917
1985,NL,HOU,HOU,W,3,162,81.0,83,79,N,,N,N,706,5582,1457,261,42,121,477,873.0,96.0,56.0,,,691,593,3.66,17,9,42,4374,1393,119,543,909,152,159.0,0.97,Houston Astros,Astrodome,1184314.0,97,96,HOU,HOU,HOU,9993051
1985,NL,SDN,SDP,W,3,162,81.0,83,79,N,,N,N,650,5507,1405,241,28,109,513,809.0,60.0,39.0,,,622,548,3.4,26,19,44,4353,1399,127,443,727,124,158.0,0.98,San Diego Padres,Jack Murphy Stadium,2210352.0,99,99,SDP,SDN,SDN,11036583
1985,NL,ATL,ATL,W,5,162,81.0,66,96,N,,N,N,632,5526,1359,213,28,126,553,849.0,72.0,52.0,,,781,678,4.19,9,9,29,4371,1512,134,642,776,159,197.0,0.97,Atlanta Braves,Atlanta-Fulton County Stadium,1350137.0,105,106,ATL,ATL,ATL,14807000
1985,NL,SFN,SFG,W,6,162,81.0,62,100,N,,N,N,556,5420,1263,217,31,115,488,962.0,99.0,55.0,,,674,581,3.61,13,5,24,4344,1348,125,572,985,144,134.0,0.97,San Francisco Giants,Candlestick Park,818697.0,95,96,SFG,SFN,SFN,8221714
1986,AL,BOS,BOS,E,1,161,81.0,95,66,Y,,Y,N,794,5498,1488,320,21,144,595,707.0,41.0,34.0,,,696,624,3.93,36,6,41,4287,1469,167,474,1033,129,146.0,0.97,Boston Red Sox,Fenway Park II,2147641.0,101,100,BOS,BOS,BOS,14402239
1986,AL,NYA,NYY,E,2,162,80.0,90,72,N,,N,N,797,5570,1512,275,23,188,645,911.0,139.0,48.0,,,738,659,4.11,13,8,58,4329,1461,175,492,878,127,153.0,0.97,New York Yankees,Yankee Stadium II,2268030.0,99,98,NYY,NYA,NYA,18494253
1986,AL,DET,DET,E,3,162,81.0,87,75,N,,N,N,798,5512,1447,234,30,198,613,885.0,138.0,58.0,,,714,645,4.02,33,12,38,4329,1374,183,571,880,108,163.0,0.98,Detroit Tigers,Tiger Stadium,1899437.0,100,99,DET,DET,DET,12335714
1986,AL,TOR,TOR,E,4,163,81.0,86,76,N,,N,N,809,5716,1540,285,35,181,496,848.0,110.0,59.0,,,733,669,4.08,16,12,44,4428,1467,164,487,1002,100,150.0,0.98,Toronto Blue Jays,Exhibition Stadium,2455477.0,103,102,TOR,TOR,TOR,12611047
1986,AL,CLE,CLE,E,5,163,81.0,84,78,N,,N,N,831,5702,1620,270,45,157,456,944.0,141.0,54.0,,,841,736,4.58,31,7,34,4341,1548,167,605,744,156,148.0,0.97,Cleveland Indians,Cleveland Stadium,1471805.0,98,99,CLE,CLE,CLE,7809500
1986,AL,ML4,MIL,E,6,161,80.0,77,84,N,,N,N,667,5461,1393,255,38,127,530,986.0,100.0,50.0,,,734,638,4.01,29,12,32,4293,1478,158,494,952,146,146.0,0.97,Milwaukee Brewers,County Stadium,1265041.0,103,104,MIL,MIL,MIL,9943642
1986,AL,BAL,BAL,E,7,162,79.0,73,89,N,,N,N,708,5524,1425,223,13,169,563,862.0,64.0,34.0,,,760,686,4.3,17,6,39,4308,1451,177,535,954,135,163.0,0.97,Baltimore Orioles,Memorial Stadium,1973176.0,98,99,BAL,BAL,BAL,13001258
